Metric Type,Original Detail,Enriched Instructional Detail (Interpretation & Calculation)
6.a. Incidence Rate,"(per 100,000, age-adjusted).","Use 2000 U.S. Standard Population; allows fair comparisons."
6.b. Mortality Rate,"—","Cancer deaths ÷ population (per 100,000)."
6.c. Stage at Diagnosis,"—","Earlier (localized) stage share indicates screening impact."
6.d. Survival Metrics,"Overall; Relative Survival.","Relative survival = observed ÷ expected survival (matched general population)."
6.e. Reporting Lag,"—","Diagnosis → case closure time; core timeliness measure."
6.f. Case Capture %,"—","Target >95% in high-quality registries; validates completeness."
6.g. Missingness,"—","Track missing stage/race-ethnicity; mitigates bias in disparity work."
6.h. Coding Accuracy,"—","Re-abstraction agreement vs gold standard; aim ≥98% for core fields."
6.i. Deduplication Rate,"—","High rates imply matching/casefinding inefficiency."
7.a. Timeliness,"—","Measured via Reporting Lag."
7.b. Completeness,"—","Measured via Case Capture % (validate with external sources)."
7.c. Consistency/Validity,"Edit Checks.","NAACCR Edits enforce site-morph/date/value logic."
7.d. Equity Metrics,"Race/Ethnicity completeness; Geographic variation.","Address unknown race/ethnicity via linkage or careful imputation."
